disease,symptoms
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition']"
Drug Reaction,"['skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'stomachpain', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'burningmicturition', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'spotting urination']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition']"
Peptic ulcer diseae,"['vomiting', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['patchesinthroat', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'highfever', 'extramaritalcontacts']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'excessivehunger', 'increasedappetite', 'polyuria']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['sunkeneyes', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'dehydration', 'diarrhoea']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Bronchial Asthma,"['fatigue', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Hypertension ,"['headache', 'chestpain', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'depression', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'irritability', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'visualdisturbances']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['backpain', 'neckpain', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'lossofbalance']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Cervical spondylosis,"['backpain', 'neckpain', 'dizziness', 'lossofbalance']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['headache', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['vomiting', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['headache', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['vomiting', 'weaknessofonebodyside', 'alteredsensorium']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'alteredsensorium']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'yellowishskin', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'darkurine', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'abdominalpain']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'highfever', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'nausea', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'diarrhoea', 'musclepain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'musclepain']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'malaise', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'musclepain', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Dengue,"['chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Dengue,"['skinrash', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
Typhoid,"['chill', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'mildfever', 'yellowingofeyes', 'musclepain']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'familyhistory']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis C,"['yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis C,"['fatigue', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis C,"['fatigue', 'yellowishskin', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'yellowingofeyes', 'familyhistory']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'familyhistory']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'abdominalpain', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'yellowingofeyes']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain']"
